Region,Subregion,Country,Indicator,Year,Source,value
Africa,Southern Africa,Lesotho,Homicide count,2012,NSO,641
Africa,Southern Africa,Lesotho,Homicide rate,2012,NSO,31.8
Africa,Southern Africa,Eswatini,Homicide count,2013,GSHRevision,102
Africa,Southern Africa,Eswatini,Homicide rate,2013,GSHRevision,9.4
Africa,Southern Africa,South Africa,Homicide count,2013,NP,17023
Africa,Southern Africa,South Africa,Homicide rate,2013,NP,31.7
Africa,Southern Africa,Lesotho,Homicide count,2013,NSO,658
Africa,Southern Africa,Lesotho,Homicide rate,2013,NSO,32.4
Africa,Southern Africa,Eswatini,Homicide count,2014,GSHRevision,118
Africa,Southern Africa,Eswatini,Homicide rate,2014,GSHRevision,10.8
Africa,Southern Africa,South Africa,Homicide count,2014,NP,17805
Africa,Southern Africa,South Africa,Homicide rate,2014,NP,32.6
Africa,Southern Africa,Eswatini,Homicide count,2015,GSHRevision,112
Africa,Southern Africa,Eswatini,Homicide rate,2015,GSHRevision,10.1
Africa,Southern Africa,South Africa,Homicide count,2015,NP,18673
Africa,Southern Africa,South Africa,Homicide rate,2015,NP,33.7
Africa,Southern Africa,Lesotho,Homicide count,2015,NSO,897
Africa,Southern Africa,Lesotho,Homicide rate,2015,NSO,43.6
Africa,Southern Africa,Eswatini,Homicide count,2016,GSHRevision,116
Africa,Southern Africa,Eswatini,Homicide rate,2016,GSHRevision,10.4
Africa,Southern Africa,South Africa,Homicide count,2016,NP,19016
Africa,Southern Africa,South Africa,Homicide rate,2016,NP,33.8
Africa,Southern Africa,Eswatini,Homicide count,2017,GSHRevision,130
Africa,Southern Africa,Eswatini,Homicide rate,2017,GSHRevision,11.6
Africa,Southern Africa,South Africa,Homicide count,2017,NP,20355
Africa,Southern Africa,South Africa,Homicide rate,2017,NP,35.7
Africa,Southern Africa,South Africa,Homicide count,2018,NP,21036
Africa,Southern Africa,South Africa,Homicide rate,2018,NP,36.4
Africa,Western Africa,Saint Helena,Homicide count,1994,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,1994,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,1995,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,1995,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,1996,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,1996,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,1997,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,1997,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,1998,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,1998,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,1999,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,1999,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,2000,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,2000,NSO,0
Africa,Western Africa,Saint Helena,Homicide count,2001,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,2001,NSO,0
Africa,Western Africa,Ghana,Homicide count,2001,WHO,433
Africa,Western Africa,Ghana,Homicide rate,2001,WHO,2.2
Africa,Western Africa,Burkina Faso,Homicide count,2002,NSO,78
Africa,Western Africa,Saint Helena,Homicide count,2002,NSO,0
Africa,Western Africa,Burkina Faso,Homicide rate,2002,NSO,0.6
Africa,Western Africa,Saint Helena,Homicide rate,2002,NSO,0
Africa,Western Africa,Ghana,Homicide count,2002,WHO,401
Africa,Western Africa,Ghana,Homicide rate,2002,WHO,2
Africa,Western Africa,Cabo Verde,Homicide count,2003,NP,15
Africa,Western Africa,Cabo Verde,Homicide rate,2003,NP,3.3
Africa,Western Africa,Burkina Faso,Homicide count,2003,NSO,81
Africa,Western Africa,Saint Helena,Homicide count,2003,NSO,0
Africa,Western Africa,Burkina Faso,Homicide rate,2003,NSO,0.6
Africa,Western Africa,Saint Helena,Homicide rate,2003,NSO,0
Africa,Western Africa,Ghana,Homicide count,2003,WHO,436
Africa,Western Africa,Ghana,Homicide rate,2003,WHO,2.1
Africa,Western Africa,Cabo Verde,Homicide count,2004,NP,21
Africa,Western Africa,Cabo Verde,Homicide rate,2004,NP,4.6
Africa,Western Africa,Burkina Faso,Homicide count,2004,NSO,78
Africa,Western Africa,Saint Helena,Homicide count,2004,NSO,1
Africa,Western Africa,Burkina Faso,Homicide rate,2004,NSO,0.6
Africa,Western Africa,Saint Helena,Homicide rate,2004,NSO,18.2
Africa,Western Africa,Sierra Leone,Homicide count,2004,UNSDC,112
Africa,Western Africa,Sierra Leone,Homicide rate,2004,UNSDC,2.1
Africa,Western Africa,Ghana,Homicide count,2004,WHO,452
Africa,Western Africa,Ghana,Homicide rate,2004,WHO,2.1
Africa,Western Africa,Cabo Verde,Homicide count,2005,NP,44
Africa,Western Africa,Cabo Verde,Homicide rate,2005,NP,9.5
Africa,Western Africa,Burkina Faso,Homicide count,2005,NSO,63
Africa,Western Africa,Saint Helena,Homicide count,2005,NSO,0
Africa,Western Africa,Burkina Faso,Homicide rate,2005,NSO,0.5
Africa,Western Africa,Saint Helena,Homicide rate,2005,NSO,0
Africa,Western Africa,Sierra Leone,Homicide count,2005,UNSDC,99
Africa,Western Africa,Sierra Leone,Homicide rate,2005,UNSDC,1.8
Africa,Western Africa,Ghana,Homicide count,2005,WHO,393
Africa,Western Africa,Ghana,Homicide rate,2005,WHO,1.8
Africa,Western Africa,Cabo Verde,Homicide count,2006,NP,35
Africa,Western Africa,Cabo Verde,Homicide rate,2006,NP,7.5
Africa,Western Africa,Burkina Faso,Homicide count,2006,NSO,69
Africa,Western Africa,Saint Helena,Homicide count,2006,NSO,0
Africa,Western Africa,Burkina Faso,Homicide rate,2006,NSO,0.5
Africa,Western Africa,Saint Helena,Homicide rate,2006,NSO,0
Africa,Western Africa,Sierra Leone,Homicide count,2006,UNSDC,101
Africa,Western Africa,Sierra Leone,Homicide rate,2006,UNSDC,1.7
Africa,Western Africa,Ghana,Homicide count,2006,WHO,412
Africa,Western Africa,Ghana,Homicide rate,2006,WHO,1.8
Africa,Western Africa,Cabo Verde,Homicide count,2007,CTS,29
Africa,Western Africa,Cabo Verde,Homicide rate,2007,CTS,6.1
Africa,Western Africa,Sierra Leone,Homicide count,2007,NP,134
Africa,Western Africa,Sierra Leone,Homicide rate,2007,NP,2.2
Africa,Western Africa,Burkina Faso,Homicide count,2007,NSO,94
Africa,Western Africa,Saint Helena,Homicide count,2007,NSO,0
Africa,Western Africa,Burkina Faso,Homicide rate,2007,NSO,0.7
Africa,Western Africa,Saint Helena,Homicide rate,2007,NSO,0
Africa,Western Africa,Liberia,Homicide count,2007,UNMIL,100
Africa,Western Africa,Liberia,Homicide rate,2007,UNMIL,2.9
Africa,Western Africa,Ghana,Homicide count,2007,WHO,399
Africa,Western Africa,Ghana,Homicide rate,2007,WHO,1.7
Africa,Western Africa,Cabo Verde,Homicide count,2008,CTS,34
Africa,Western Africa,Cabo Verde,Homicide rate,2008,CTS,7.1
Africa,Western Africa,Burkina Faso,Homicide count,2008,MoJ,151
Africa,Western Africa,Burkina Faso,Homicide rate,2008,MoJ,1
Africa,Western Africa,Sierra Leone,Homicide count,2008,NP,184
Africa,Western Africa,Sierra Leone,Homicide rate,2008,NP,3
Africa,Western Africa,Saint Helena,Homicide count,2008,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,2008,NSO,0
Africa,Western Africa,Liberia,Homicide count,2008,UNMIL,177
Africa,Western Africa,Liberia,Homicide rate,2008,UNMIL,4.9
Africa,Western Africa,Ghana,Homicide count,2008,WHO,430
Africa,Western Africa,Ghana,Homicide rate,2008,WHO,1.8
Africa,Western Africa,Cabo Verde,Homicide count,2009,CTS,38
Africa,Western Africa,Cabo Verde,Homicide rate,2009,CTS,7.8
Africa,Western Africa,Burkina Faso,Homicide count,2009,MoJ,135
Africa,Western Africa,Burkina Faso,Homicide rate,2009,MoJ,0.9
Africa,Western Africa,Sierra Leone,Homicide count,2009,NP,158
Africa,Western Africa,Sierra Leone,Homicide rate,2009,NP,2.5
Africa,Western Africa,Saint Helena,Homicide count,2009,NSO,0
Africa,Western Africa,Saint Helena,Homicide rate,2009,NSO,0
Africa,Western Africa,Liberia,Homicide count,2009,UNMIL,145
Africa,Western Africa,Liberia,Homicide rate,2009,UNMIL,3.9
Africa,Western Africa,Ghana,Homicide count,2009,WHO,427
Africa,Western Africa,Ghana,Homicide rate,2009,WHO,1.8
Africa,Western Africa,Cabo Verde,Homicide count,2010,CTS,39
Africa,Western Africa,Cabo Verde,Homicide rate,2010,CTS,7.9
Africa,Western Africa,Burkina Faso,Homicide count,2010,MoJ,123
Africa,Western Africa,Burkina Faso,Homicide rate,2010,MoJ,0.8
Africa,Western Africa,Sierra Leone,Homicide count,2010,NP,163
Africa,Western Africa,Sierra Leone,Homicide rate,2010,NP,2.5
Africa,Western Africa,Liberia,Homicide count,2010,UNMIL,129
Africa,Western Africa,Liberia,Homicide rate,2010,UNMIL,3.3
Africa,Western Africa,Ghana,Homicide count,2010,WHO,422
Africa,Western Africa,Ghana,Homicide rate,2010,WHO,1.7
Africa,Western Africa,Cabo Verde,Homicide count,2011,CTS,53
Africa,Western Africa,Cabo Verde,Homicide rate,2011,CTS,10.6
Africa,Western Africa,Burkina Faso,Homicide count,2011,MoJ,90
Africa,Western Africa,Burkina Faso,Homicide rate,2011,MoJ,0.6
Africa,Western Africa,Sierra Leone,Homicide count,2011,NP,187
Africa,Western Africa,Sierra Leone,Homicide rate,2011,NP,2.8
Africa,Western Africa,Liberia,Homicide count,2011,UNMIL,161
Africa,Western Africa,Liberia,Homicide rate,2011,UNMIL,4
Africa,Western Africa,Ghana,Homicide count,2011,WHO,423
Africa,Western Africa,Niger,Homicide count,2011,WHO,831
Africa,Western Africa,Ghana,Homicide rate,2011,WHO,1.7
Africa,Western Africa,Niger,Homicide rate,2011,WHO,4.9
Africa,Western Africa,Cabo Verde,Homicide count,2012,CTS,56
Africa,Western Africa,Cabo Verde,Homicide rate,2012,CTS,11.1
Africa,Western Africa,Burkina Faso,Homicide count,2012,MoJ,115
Africa,Western Africa,Burkina Faso,Homicide rate,2012,MoJ,0.7
Africa,Western Africa,Ghana,Homicide count,2012,NP,560
Africa,Western Africa,Sierra Leone,Homicide count,2012,NP,113
Africa,Western Africa,Ghana,Homicide rate,2012,NP,2.2
Africa,Western Africa,Sierra Leone,Homicide rate,2012,NP,1.7
Africa,Western Africa,Liberia,Homicide count,2012,UNMIL,135
Africa,Western Africa,Liberia,Homicide rate,2012,UNMIL,3.3
Africa,Western Africa,Niger,Homicide count,2012,WHO,788
Africa,Western Africa,Niger,Homicide rate,2012,WHO,4.4
Africa,Western Africa,Cabo Verde,Homicide count,2013,CTS,54
Africa,Western Africa,Guinea-Bissau,Homicide count,2013,CTS,81
Africa,Western Africa,Cabo Verde,Homicide rate,2013,CTS,10.6
Africa,Western Africa,Guinea-Bissau,Homicide rate,2013,CTS,4.9
Africa,Western Africa,Burkina Faso,Homicide count,2013,MoJ,121
Africa,Western Africa,Burkina Faso,Homicide rate,2013,MoJ,0.7
Africa,Western Africa,Ghana,Homicide count,2013,NP,551
Africa,Western Africa,Ghana,Homicide rate,2013,NP,2.1
Africa,Western Africa,Cabo Verde,Homicide count,2014,CTS,65
Africa,Western Africa,Guinea-Bissau,Homicide count,2014,CTS,65
Africa,Western Africa,Cabo Verde,Homicide rate,2014,CTS,12.5
Africa,Western Africa,Guinea-Bissau,Homicide rate,2014,CTS,3.8
Africa,Western Africa,Burkina Faso,Homicide count,2014,MoJ,130
Africa,Western Africa,Burkina Faso,Homicide rate,2014,MoJ,0.7
Africa,Western Africa,Ghana,Homicide count,2014,NP,543
Africa,Western Africa,Ghana,Homicide rate,2014,NP,2
Africa,Western Africa,Cabo Verde,Homicide count,2015,CTS,46
Africa,Western Africa,Guinea-Bissau,Homicide count,2015,CTS,48
Africa,Western Africa,Senegal,Homicide count,2015,CTS,39
Africa,Western Africa,Cabo Verde,Homicide rate,2015,CTS,8.8
Africa,Western Africa,Guinea-Bissau,Homicide rate,2015,CTS,2.8
Africa,Western Africa,Senegal,Homicide rate,2015,CTS,0.3
Africa,Western Africa,Burkina Faso,Homicide count,2015,MoJ,117
Africa,Western Africa,Burkina Faso,Homicide rate,2015,MoJ,0.6
Africa,Western Africa,Ghana,Homicide count,2015,NP,525
Africa,Western Africa,Ghana,Homicide rate,2015,NP,1.9
Africa,Western Africa,Sierra Leone,Homicide count,2015,SDG,124
Africa,Western Africa,Sierra Leone,Homicide rate,2015,SDG,1.7
Africa,Western Africa,Guinea-Bissau,Homicide count,2016,CTS,64
Africa,Western Africa,Guinea-Bissau,Homicide rate,2016,CTS,3.6
Africa,Western Africa,Burkina Faso,Homicide count,2016,MoJ,209
Africa,Western Africa,Burkina Faso,Homicide rate,2016,MoJ,1.1
Africa,Western Africa,Cabo Verde,Homicide count,2016,NP,62
Africa,Western Africa,Ghana,Homicide count,2016,NP,549
Africa,Western Africa,Cabo Verde,Homicide rate,2016,NP,11.7
Africa,Western Africa,Ghana,Homicide rate,2016,NP,1.9
Africa,Western Africa,Nigeria,Homicide count,2016,UNODC Estimate,64201
Africa,Western Africa,Nigeria,Homicide rate,2016,UNODC Estimate,34.5
Africa,Western Africa,Benin,Homicide count,2017,CTS,126
Africa,Western Africa,Cabo Verde,Homicide count,2017,CTS,38
Africa,Western Africa,Guinea-Bissau,Homicide count,2017,CTS,21
Africa,Western Africa,Benin,Homicide rate,2017,CTS,1.1
Africa,Western Africa,Cabo Verde,Homicide rate,2017,CTS,7.1
Africa,Western Africa,Guinea-Bissau,Homicide rate,2017,CTS,1.1
Africa,Western Africa,Burkina Faso,Homicide count,2017,MoJ,240
Africa,Western Africa,Burkina Faso,Homicide rate,2017,MoJ,1.3
Africa,Western Africa,Ghana,Homicide count,2017,NP,609
Africa,Western Africa,Ghana,Homicide rate,2017,NP,2.1
Africa,Western Africa,Cabo Verde,Homicide count,2018,CTS,37
Africa,Western Africa,Cabo Verde,Homicide rate,2018,CTS,6.8
Americas,Caribbean,Aruba,Homicide count,1990,MD,0
Americas,Caribbean,Barbados,Homicide count,1990,MD,34
Americas,Caribbean,British Virgin Islands,Homicide count,1990,MD,1
Americas,Caribbean,Cayman Islands,Homicide count,1990,MD,2
Americas,Caribbean,Montserrat,Homicide count,1990,MD,0
Americas,Caribbean,Saint Lucia,Homicide count,1990,MD,14
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1990,MD,0
Americas,Caribbean,Aruba,Homicide rate,1990,MD,0
Americas,Caribbean,Barbados,Homicide rate,1990,MD,13
Americas,Caribbean,British Virgin Islands,Homicide rate,1990,MD,5.7
Americas,Caribbean,Cayman Islands,Homicide rate,1990,MD,7.9
Americas,Caribbean,Montserrat,Homicide rate,1990,MD,0
Americas,Caribbean,Saint Lucia,Homicide rate,1990,MD,10.1
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1990,MD,0
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1990,NGO,11
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1990,NGO,10.2
Americas,Caribbean,Puerto Rico,Homicide count,1990,NP,600
Americas,Caribbean,Puerto Rico,Homicide rate,1990,NP,17.6
Americas,Caribbean,Bahamas,Homicide count,1990,UNSDC,45
Americas,Caribbean,Jamaica,Homicide count,1990,UNSDC,544
Americas,Caribbean,Bahamas,Homicide rate,1990,UNSDC,17.6
Americas,Caribbean,Jamaica,Homicide rate,1990,UNSDC,22.5
Americas,Caribbean,Barbados,Homicide count,1991,MD,21
Americas,Caribbean,British Virgin Islands,Homicide count,1991,MD,0
Americas,Caribbean,Cayman Islands,Homicide count,1991,MD,2
Americas,Caribbean,Montserrat,Homicide count,1991,MD,0
Americas,Caribbean,Saint Lucia,Homicide count,1991,MD,10
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1991,MD,0
Americas,Caribbean,Barbados,Homicide rate,1991,MD,8
Americas,Caribbean,British Virgin Islands,Homicide rate,1991,MD,0
Americas,Caribbean,Cayman Islands,Homicide rate,1991,MD,7.5
Americas,Caribbean,Montserrat,Homicide rate,1991,MD,0
Americas,Caribbean,Saint Lucia,Homicide rate,1991,MD,7.1
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1991,MD,0
Americas,Caribbean,Dominican Republic,Homicide count,1991,NGO,908
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1991,NGO,18
Americas,Caribbean,Dominican Republic,Homicide rate,1991,NGO,12.5
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1991,NGO,16.7
Americas,Caribbean,Puerto Rico,Homicide count,1991,NP,817
Americas,Caribbean,Puerto Rico,Homicide rate,1991,NP,23.8
Americas,Caribbean,Bahamas,Homicide count,1991,UNSDC,28
Americas,Caribbean,Jamaica,Homicide count,1991,UNSDC,566
Americas,Caribbean,Bahamas,Homicide rate,1991,UNSDC,10.7
Americas,Caribbean,Jamaica,Homicide rate,1991,UNSDC,23.2
Americas,Caribbean,Barbados,Homicide count,1992,MD,22
Americas,Caribbean,British Virgin Islands,Homicide count,1992,MD,0
Americas,Caribbean,Cayman Islands,Homicide count,1992,MD,1
Americas,Caribbean,Cuba,Homicide count,1992,MD,673
Americas,Caribbean,Montserrat,Homicide count,1992,MD,2
Americas,Caribbean,Saint Lucia,Homicide count,1992,MD,14
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1992,MD,1
Americas,Caribbean,Barbados,Homicide rate,1992,MD,8.4
Americas,Caribbean,British Virgin Islands,Homicide rate,1992,MD,0
Americas,Caribbean,Cayman Islands,Homicide rate,1992,MD,3.6
Americas,Caribbean,Cuba,Homicide rate,1992,MD,6.3
Americas,Caribbean,Montserrat,Homicide rate,1992,MD,18.8
Americas,Caribbean,Saint Lucia,Homicide rate,1992,MD,9.9
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1992,MD,7.3
Americas,Caribbean,Dominican Republic,Homicide count,1992,NGO,807
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1992,NGO,18
Americas,Caribbean,Dominican Republic,Homicide rate,1992,NGO,10.9
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1992,NGO,16.7
Americas,Caribbean,Puerto Rico,Homicide count,1992,NP,864
Americas,Caribbean,Puerto Rico,Homicide rate,1992,NP,24.9
Americas,Caribbean,Bahamas,Homicide count,1992,UNSDC,41
Americas,Caribbean,Jamaica,Homicide count,1992,UNSDC,632
Americas,Caribbean,Bahamas,Homicide rate,1992,UNSDC,15.4
Americas,Caribbean,Jamaica,Homicide rate,1992,UNSDC,25.7
Americas,Caribbean,Barbados,Homicide count,1993,MD,21
Americas,Caribbean,British Virgin Islands,Homicide count,1993,MD,0
Americas,Caribbean,Cayman Islands,Homicide count,1993,MD,2
Americas,Caribbean,Cuba,Homicide count,1993,MD,802
Americas,Caribbean,Montserrat,Homicide count,1993,MD,0
Americas,Caribbean,Saint Lucia,Homicide count,1993,MD,8
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1993,MD,1
Americas,Caribbean,Barbados,Homicide rate,1993,MD,8
Americas,Caribbean,British Virgin Islands,Homicide rate,1993,MD,0
Americas,Caribbean,Cayman Islands,Homicide rate,1993,MD,6.9
Americas,Caribbean,Cuba,Homicide rate,1993,MD,7.4
Americas,Caribbean,Montserrat,Homicide rate,1993,MD,0
Americas,Caribbean,Saint Lucia,Homicide rate,1993,MD,5.6
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1993,MD,6.9
Americas,Caribbean,Dominican Republic,Homicide count,1993,NGO,930
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1993,NGO,14
Americas,Caribbean,Dominican Republic,Homicide rate,1993,NGO,12.3
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1993,NGO,13
Americas,Caribbean,Puerto Rico,Homicide count,1993,NP,954
Americas,Caribbean,Puerto Rico,Homicide rate,1993,NP,27.2
Americas,Caribbean,Bahamas,Homicide count,1993,UNSDC,35
Americas,Caribbean,Jamaica,Homicide count,1993,UNSDC,657
Americas,Caribbean,Bahamas,Homicide rate,1993,UNSDC,12.9
Americas,Caribbean,Jamaica,Homicide rate,1993,UNSDC,26.4
Americas,Caribbean,Barbados,Homicide count,1994,MD,20
Americas,Caribbean,British Virgin Islands,Homicide count,1994,MD,0
Americas,Caribbean,Cayman Islands,Homicide count,1994,MD,2
Americas,Caribbean,Cuba,Homicide count,1994,MD,901
Americas,Caribbean,Montserrat,Homicide count,1994,MD,1
Americas,Caribbean,Saint Lucia,Homicide count,1994,MD,10
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1994,MD,2
Americas,Caribbean,Barbados,Homicide rate,1994,MD,7.6
Americas,Caribbean,British Virgin Islands,Homicide rate,1994,MD,0
Americas,Caribbean,Cayman Islands,Homicide rate,1994,MD,6.6
Americas,Caribbean,Cuba,Homicide rate,1994,MD,8.3
Americas,Caribbean,Montserrat,Homicide rate,1994,MD,9.7
Americas,Caribbean,Saint Lucia,Homicide rate,1994,MD,6.9
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1994,MD,13
Americas,Caribbean,Dominican Republic,Homicide count,1994,NGO,1005
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1994,NGO,13
Americas,Caribbean,Dominican Republic,Homicide rate,1994,NGO,13.1
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1994,NGO,12
Americas,Caribbean,Puerto Rico,Homicide count,1994,NP,995
Americas,Caribbean,Puerto Rico,Homicide rate,1994,NP,28.1
Americas,Caribbean,Bahamas,Homicide count,1994,UNSDC,52
Americas,Caribbean,Jamaica,Homicide count,1994,UNSDC,692
Americas,Caribbean,Bahamas,Homicide rate,1994,UNSDC,18.9
Americas,Caribbean,Jamaica,Homicide rate,1994,UNSDC,27.6
Americas,Caribbean,Aruba,Homicide count,1995,MD,6
Americas,Caribbean,Barbados,Homicide count,1995,MD,17
Americas,Caribbean,British Virgin Islands,Homicide count,1995,MD,2
Americas,Caribbean,Cayman Islands,Homicide count,1995,MD,2
Americas,Caribbean,Cuba,Homicide count,1995,MD,852
Americas,Caribbean,Saint Lucia,Homicide count,1995,MD,16
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1995,MD,1
Americas,Caribbean,Aruba,Homicide rate,1995,MD,7.5
Americas,Caribbean,Barbados,Homicide rate,1995,MD,6.4
Americas,Caribbean,British Virgin Islands,Homicide rate,1995,MD,10.4
Americas,Caribbean,Cayman Islands,Homicide rate,1995,MD,6.2
Americas,Caribbean,Cuba,Homicide rate,1995,MD,7.8
Americas,Caribbean,Saint Lucia,Homicide rate,1995,MD,10.9
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1995,MD,6.2
Americas,Caribbean,Dominican Republic,Homicide count,1995,NGO,1007
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1995,NGO,20
Americas,Caribbean,Dominican Republic,Homicide rate,1995,NGO,12.9
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1995,NGO,18.5
Americas,Caribbean,Jamaica,Homicide count,1995,NP,780
Americas,Caribbean,Puerto Rico,Homicide count,1995,NP,864
Americas,Caribbean,Saint Kitts and Nevis,Homicide count,1995,NP,4
Americas,Caribbean,Jamaica,Homicide rate,1995,NP,30.8
Americas,Caribbean,Puerto Rico,Homicide rate,1995,NP,24.2
Americas,Caribbean,Saint Kitts and Nevis,Homicide rate,1995,NP,9.5
Americas,Caribbean,Bahamas,Homicide count,1995,UNSDC,40
Americas,Caribbean,Bahamas,Homicide rate,1995,UNSDC,14.3
Americas,Caribbean,Montserrat,Homicide count,1995,WHO,0
Americas,Caribbean,Montserrat,Homicide rate,1995,WHO,0
Americas,Caribbean,British Virgin Islands,Homicide count,1996,MD,2
Americas,Caribbean,Cayman Islands,Homicide count,1996,MD,1
Americas,Caribbean,Cuba,Homicide count,1996,MD,732
Americas,Caribbean,Montserrat,Homicide count,1996,MD,1
Americas,Caribbean,Saint Lucia,Homicide count,1996,MD,12
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1996,MD,1
Americas,Caribbean,British Virgin Islands,Homicide rate,1996,MD,10.3
Americas,Caribbean,Cayman Islands,Homicide rate,1996,MD,2.9
Americas,Caribbean,Cuba,Homicide rate,1996,MD,6.7
Americas,Caribbean,Montserrat,Homicide rate,1996,MD,11.1
Americas,Caribbean,Saint Lucia,Homicide rate,1996,MD,8.1
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1996,MD,5.9
Americas,Caribbean,Dominican Republic,Homicide count,1996,NGO,1032
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1996,NGO,24
Americas,Caribbean,Dominican Republic,Homicide rate,1996,NGO,13
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1996,NGO,22.2
Americas,Caribbean,Jamaica,Homicide count,1996,NP,925
Americas,Caribbean,Puerto Rico,Homicide count,1996,NP,868
Americas,Caribbean,Saint Kitts and Nevis,Homicide count,1996,NP,4
Americas,Caribbean,Jamaica,Homicide rate,1996,NP,36.2
Americas,Caribbean,Puerto Rico,Homicide rate,1996,NP,24.1
Americas,Caribbean,Saint Kitts and Nevis,Homicide rate,1996,NP,9.4
Americas,Caribbean,Bahamas,Homicide count,1996,UNSDC,51
Americas,Caribbean,Bahamas,Homicide rate,1996,UNSDC,18
Americas,Caribbean,Cayman Islands,Homicide count,1997,MD,2
Americas,Caribbean,Cuba,Homicide count,1997,MD,747
Americas,Caribbean,Saint Lucia,Homicide count,1997,MD,13
Americas,Caribbean,Turks and Caicos Islands,Homicide count,1997,MD,2
Americas,Caribbean,United States Virgin Islands,Homicide count,1997,MD,30
Americas,Caribbean,Cayman Islands,Homicide rate,1997,MD,5.5
Americas,Caribbean,Cuba,Homicide rate,1997,MD,6.8
Americas,Caribbean,Saint Lucia,Homicide rate,1997,MD,8.6
Americas,Caribbean,Turks and Caicos Islands,Homicide rate,1997,MD,11.4
Americas,Caribbean,United States Virgin Islands,Homicide rate,1997,MD,27.7
Americas,Caribbean,Dominican Republic,Homicide count,1997,NGO,1038
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide count,1997,NGO,9
Americas,Caribbean,Dominican Republic,Homicide rate,1997,NGO,12.8
Americas,Caribbean,Saint Vincent and the Grenadines,Homicide rate,1997,NGO,8.3
Americas,Caribbean,Jamaica,Homicide count,1997,NP,1038
Americas,Caribbean,Puerto Rico,Homicide count,1997,NP,724
Americas,Caribbean,Saint Kitts and Nevis,Homicide count,1997,NP,7
Americas,Caribbean,Jamaica,Homicide rate,1997,NP,40.2
Americas,Caribbean,Puerto Rico,Homicide rate,1997,NP,20
Americas,Caribbean,Saint Kitts and Nevis,Homicide rate,1997,NP,16.3
Americas,Caribbean,Montserrat,Homicide count,1997,PAHO,0
Americas,Caribbean,Montserrat,Homicide rate,1997,PAHO,0
Americas,Caribbean,Bahamas,Homicide count,1997,UNSDC,46
Americas,Caribbean,Bahamas,Homicide rate,1997,UNSDC,16
Americas,Caribbean,Cayman Islands,Homicide count,1998,MD,1
Americas,Caribbean,Cuba,Homicide count,1998,MD,818
Americas,Caribbean,Montserrat,Homicide count,1998,MD,1
Americas,Caribbean,Saint Lucia,Homicide count,1998,MD,14
Americas,Caribbean,United States Virgin Islands,Homicide count,1998,MD,25
Americas,Caribbean,Cayman Islands,Homicide rate,1998,MD,2.6
Americas,Caribbean,Cuba,Homicide rate,1998,MD,7.4
Americas,Caribbean,Montserrat,Homicide rate,1998,MD,14.8
Americas,Caribbean,Saint Lucia,Homicide rate,1998,MD,9.1
Americas,Caribbean,United States Virgin Islands,Homicide rate,1998,MD,23
Americas,Caribbean,Dominican Republic,Homicide count,1998,NGO,1121
