download,Country,Icons,Population Type,Question Number,Region,Sub-region,Year,Count,Number of Records,Rate,Refpopulation
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2010,34343,1,492.985970793,6966.324
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2011,35026,1,499.900236891,7006.598
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2012,33664,1,477.717197493,7046.847
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2013,31598,1,445.746658804,7088.78
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2017,23806,1,325.827725741,7306.315
,Hong Kong Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2018,21309,1,289.063839577,7371.728
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2008,2870,1,557.030619216,515.232
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2009,2915,1,553.760346200,526.401
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2010,2812,1,522.467787037,538.215
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2011,3250,1,590.015485637,550.833
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2012,2970,1,526.561200772,564.037
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2013,3006,1,520.638483601,577.368
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2014,2703,1,457.972586029,590.21
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2015,2647,1,439.633079939,602.093
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2016,2932,1,478.440792136,612.824
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2017,2702,1,434.001843946,622.578
,Macao Special Administrative Region of China,,Total population,3.5.2,Asia,Eastern Asia,2018,2556,1,404.665367389,631.633
,Colombia,,Total population,3.5.2,Americas,South America,2004,55079,1,130.903758560,42075.95
,Colombia,,Total population,3.5.2,Americas,South America,2005,68739,1,161.178566831,42647.73
,Colombia,,Total population,3.5.2,Americas,South America,2006,91493,1,211.784939666,43200.9
,Colombia,,Total population,3.5.2,Americas,South America,2007,84131,1,192.354342988,43737.51
,Colombia,,Total population,3.5.2,Americas,South America,2008,74151,1,167.554062290,44254.97
,Colombia,,Total population,3.5.2,Americas,South America,2009,93743,1,209.481330188,44750.05
,Colombia,,Total population,3.5.2,Americas,South America,2010,91823,1,203.046257742,45222.7
,Colombia,,Total population,3.5.2,Americas,South America,2011,101122,1,221.454029816,45662.75
,Colombia,,Total population,3.5.2,Americas,South America,2012,126463,1,274.467767405,46075.72
,Colombia,,Total population,3.5.2,Americas,South America,2013,75998,1,163.452412266,46495.49
,Colombia,,Total population,3.5.2,Americas,South America,2014,74111,1,157.791384762,46967.71
,Colombia,,Total population,3.5.2,Americas,South America,2015,78595,1,165.391186614,47520.67
,Colombia,,Total population,3.5.2,Americas,South America,2016,86564,1,179.686372925,48175.05
,Colombia,,Total population,3.5.2,Americas,South America,2018,89628,1,180.479433987,49661.06
,Costa Rica,,Total population,3.5.2,Americas,Central America,2003,6877,1,165.151596293,4164.053
,Costa Rica,,Total population,3.5.2,Americas,Central America,2004,7839,1,185.531611141,4225.156
,Costa Rica,,Total population,3.5.2,Americas,Central America,2005,8361,1,195.099572886,4285.504
,Costa Rica,,Total population,3.5.2,Americas,Central America,2006,10326,1,237.629449483,4345.421
,Costa Rica,,Total population,3.5.2,Americas,Central America,2007,12174,1,276.391230493,4404.626
,Costa Rica,,Total population,3.5.2,Americas,Central America,2008,13685,1,306.623859571,4463.123
,Costa Rica,,Total population,3.5.2,Americas,Central America,2009,17494,1,386.972129999,4520.739
,Costa Rica,,Total population,3.5.2,Americas,Central America,2010,20247,1,442.328139886,4577.371
,Costa Rica,,Total population,3.5.2,Americas,Central America,2011,20512,1,442.728669401,4633.086
,Costa Rica,,Total population,3.5.2,Americas,Central America,2012,14386,1,306.868404308,4688.003
,Costa Rica,,Total population,3.5.2,Americas,Central America,2013,32785,1,691.358764061,4742.111
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2003,29976,1,682.994338684,4388.909
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2004,30695,1,700.179316162,4383.877
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2005,30398,1,694.324845720,4378.066
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2006,29629,1,677.887847072,4370.782
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2007,28701,1,657.913588010,4362.427
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2008,13373,1,307.238895760,4352.639
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2009,12267,1,282.567668703,4341.261
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2010,13575,1,313.643455665,4328.163
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2011,15929,1,369.316903998,4313.098
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2012,17248,1,401.502001109,4295.869
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2013,14051,1,328.555932257,4276.593
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2014,12043,1,282.997275537,4255.518
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2015,13547,1,320.042599898,4232.874
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2016,12739,1,302.688939415,4208.611
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2017,12413,1,296.759599383,4182.847
,Croatia,,Total population,3.5.2,Europe,Southern Europe,2018,11481,1,276.224152255,4156.407
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2003,1504,1,151.374549349,993.562
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2004,1131,1,111.934759157,1010.41
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2005,1201,1,116.867787598,1027.657
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2006,1607,1,153.705184465,1045.508
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2007,1667,1,156.715940841,1063.708
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2008,1405,1,129.903991242,1081.568
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2009,1285,1,117.021480044,1098.089
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2010,1670,1,150.096574113,1112.617
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2011,1687,1,149.977285598,1124.837
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2012,1550,1,136.558342129,1135.046
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2013,1245,1,108.841420236,1143.866
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2014,966,1,83.832553586,1152.297
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2015,943,1,81.223993034,1160.987
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2016,731,1,62.468541407,1170.189
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2017,959,1,81.292887508,1179.685
,Cyprus,,Total population,3.5.2,Asia,Western Asia,2018,716,1,60.205404696,1189.262
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2003,141323,1,1380.224687058,10239.13
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2004,162139,1,1583.475268179,10239.44
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2005,154124,1,1502.451216932,10258.17
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2006,151136,1,1467.537852196,10298.61
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2007,154207,1,1488.839520619,10357.53
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2008,147292,1,1412.836310235,10425.27
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2009,138369,1,1319.287653888,10488.16
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2010,126311,1,1198.793528407,10536.51
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2011,124274,1,1176.112074848,10566.51
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2012,119367,1,1128.093901505,10581.3
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2013,125573,1,1186.158259600,10586.53
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2014,103708,1,979.199516575,10591.1
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2015,84793,1,799.829079017,10601.39
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2016,71224,1,670.730501456,10618.87
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2017,66101,1,621.189866019,10641.03
,Czechia,,Total population,3.5.2,Europe,Eastern Europe,2018,59438,1,557.282798659,10665.68
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2003,186157,1,3455.691587550,5386.968
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2004,182444,1,3376.870388694,5402.754
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2005,168120,1,3100.871848152,5421.701
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2006,165953,1,3048.201116288,5444.293
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2007,176796,1,3232.149647527,5469.92
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2008,190042,1,3456.735151283,5497.731
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2009,187179,1,3387.003701694,5526.389
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2010,241703,1,4351.207386555,5554.849
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2011,244099,1,4372.199076479,5582.98
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2012,238367,1,4248.277774599,5610.909
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2013,269086,1,4772.592154309,5638.152
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2014,250773,1,4427.333856032,5664.199
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2015,225868,1,3970.471259226,5688.695
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2016,225511,1,3948.473792342,5711.346
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2017,213924,1,3731.920142729,5732.277
,Denmark,,Total population,3.5.2,Europe,Northern Europe,2018,182819,1,3178.282970259,5752.131
,Dominican Republic,,Total population,3.5.2,Americas,Caribbean,2012,10047,1,101.168915335,9930.916
,Dominican Republic,,Total population,3.5.2,Americas,Caribbean,2014,801,1,7.879840790,10165.18
,Dominican Republic,,Total population,3.5.2,Americas,Caribbean,2015,1117,1,10.863993884,10281.67
,Dominican Republic,,Total population,3.5.2,Americas,Caribbean,2016,874,1,8.405672771,10397.74
,Ecuador,,Total population,3.5.2,Americas,South America,2003,4277,1,31.990294457,13369.68
,Ecuador,,Total population,3.5.2,Americas,South America,2004,4719,1,34.707742276,13596.39
,Ecuador,,Total population,3.5.2,Americas,South America,2005,5956,1,43.078756878,13825.84
,Ecuador,,Total population,3.5.2,Americas,South America,2006,5968,1,42.448529025,14059.38
,Ecuador,,Total population,3.5.2,Americas,South America,2009,2535,1,17.158045567,14774.41
,Ecuador,,Total population,3.5.2,Americas,South America,2010,5020,1,33.441897368,15011.11
,Ecuador,,Total population,3.5.2,Americas,South America,2011,11714,1,76.843902705,15243.89
,Ecuador,,Total population,3.5.2,Americas,South America,2012,15975,1,103.237021862,15474.1
,Ecuador,,Total population,3.5.2,Americas,South America,2013,19093,1,121.553630215,15707.47
,Ecuador,,Total population,3.5.2,Americas,South America,2014,24300,1,152.333619403,15951.83
,Ecuador,,Total population,3.5.2,Americas,South America,2015,33572,1,207.080918972,16212.02
,Ecuador,,Total population,3.5.2,Americas,South America,2016,32415,1,196.560330651,16491.12
,Ecuador,,Total population,3.5.2,Americas,South America,2017,30839,1,183.725579910,16785.36
,Ecuador,,Total population,3.5.2,Americas,South America,2018,29582,1,173.152520785,17084.36
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2003,30116,1,41.353306026,72826.1
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2004,32240,1,43.466496216,74172.07
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2005,34984,1,46.321956666,75523.58
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2006,47441,1,61.712937603,76873.67
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2007,50138,1,64.088765586,78232.12
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2008,55420,1,69.591572061,79636.08
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2009,40811,1,50.300247280,81134.79
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2010,77157,1,93.228424320,82761.24
,Egypt,,Total population,3.5.2,Africa,Northern Africa,2011,87129,1,103.075562601,84529.25
,El Salvador,,Total population,3.5.2,Americas,Central America,2005,10720,1,177.127897578,6052.124
,El Salvador,,Total population,3.5.2,Americas,Central America,2006,11417,1,187.798292429,6079.395
,El Salvador,,Total population,3.5.2,Americas,Central America,2007,8122,1,133.020844081,6105.81
,El Salvador,,Total population,3.5.2,Americas,Central America,2008,9488,1,154.735168509,6131.767
,El Salvador,,Total population,3.5.2,Americas,Central America,2009,10152,1,164.867341228,6157.678
,El Salvador,,Total population,3.5.2,Americas,Central America,2010,9676,1,156.471417527,6183.877
,El Salvador,,Total population,3.5.2,Americas,Central America,2011,10871,1,175.040378761,6210.567
,El Salvador,,Total population,3.5.2,Americas,Central America,2012,10254,1,164.381664279,6237.922
,El Salvador,,Total population,3.5.2,Americas,Central America,2013,9268,1,147.907558095,6266.076
,El Salvador,,Total population,3.5.2,Americas,Central America,2014,7533,1,119.664044743,6295.124
,El Salvador,,Total population,3.5.2,Americas,Central America,2015,8539,1,135.001369934,6325.121
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2003,34215,1,2492.162598405,1372.904
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2004,31140,1,2283.711140609,1363.57
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2005,30452,1,2246.302511710,1355.65
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2006,26615,1,1972.397550566,1349.373
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2007,21685,1,1613.113193161,1344.295
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2008,22471,1,1676.856455685,1340.067
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2009,23901,1,1788.809555885,1336.14
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2010,25253,1,1895.724279579,1332.103
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2011,20175,1,1519.543933461,1327.701
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2012,18628,1,1407.838641195,1323.163
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2013,16465,1,1248.229810745,1319.068
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2014,15738,1,1195.648623044,1316.273
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2015,11354,1,863.205431337,1315.33
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2016,8982,1,682.259950004,1316.507
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2017,7633,1,578.525362876,1319.389
,Estonia,,Total population,3.5.2,Europe,Northern Europe,2018,7403,1,559.598401407,1322.913
,Eswatini,,Total population,3.5.2,Africa,Southern Africa,2003,21535,1,2105.502954646,1022.796
,Eswatini,,Total population,3.5.2,Africa,Southern Africa,2004,20851,1,2031.692889026,1026.287
,Finland,,Total population,3.5.2,Europe,Northern Europe,2003,141372,1,2704.594090879,5227.106
,Finland,,Total population,3.5.2,Europe,Northern Europe,2004,131515,1,2508.786906198,5242.175
,Finland,,Total population,3.5.2,Europe,Northern Europe,2005,125081,1,2378.448251765,5258.933
,Finland,,Total population,3.5.2,Europe,Northern Europe,2006,119116,1,2257.057805889,5277.49
,Finland,,Total population,3.5.2,Europe,Northern Europe,2007,118569,1,2238.104882817,5297.741
,Finland,,Total population,3.5.2,Europe,Northern Europe,2008,120214,1,2259.894440254,5319.452
,Finland,,Total population,3.5.2,Europe,Northern Europe,2009,124421,1,2328.992977886,5342.266
,Finland,,Total population,3.5.2,Europe,Northern Europe,2010,99434,1,1853.112238584,5365.784
,Finland,,Total population,3.5.2,Europe,Northern Europe,2011,100501,1,1864.570106767,5390.036
,Finland,,Total population,3.5.2,Europe,Northern Europe,2012,95737,1,1768.071731223,5414.769
,Finland,,Total population,3.5.2,Europe,Northern Europe,2013,128169,1,2356.487902888,5438.984
,Finland,,Total population,3.5.2,Europe,Northern Europe,2014,127342,1,2331.668927987,5461.41
,Finland,,Total population,3.5.2,Europe,Northern Europe,2015,122404,1,2233.189956520,5481.128
,Finland,,Total population,3.5.2,Europe,Northern Europe,2016,114490,1,2082.501927165,5497.714
,Finland,,Total population,3.5.2,Europe,Northern Europe,2017,110243,1,2000.282325345,5511.372
,Finland,,Total population,3.5.2,Europe,Northern Europe,2018,107937,1,1954.465164411,5522.585
,France,,Total population,3.5.2,Europe,Western Europe,2003,835129,1,1386.069645631,60251.59
,France,,Total population,3.5.2,Europe,Western Europe,2004,838153,1,1380.858143879,60697.98
,France,,Total population,3.5.2,Europe,Western Europe,2005,835057,1,1366.255274653,61120.13
,France,,Total population,3.5.2,Europe,Western Europe,2006,822856,1,1337.783202827,61508.92
,France,,Total population,3.5.2,Europe,Western Europe,2007,771021,1,1246.210757755,61869.23
,France,,Total population,3.5.2,Europe,Western Europe,2008,751099,1,1207.375885339,62209.21
,France,,Total population,3.5.2,Europe,Western Europe,2009,1175378,1,1879.315439263,62542.88
,France,,Total population,3.5.2,Europe,Western Europe,2010,1172553,1,1864.760779102,62879.54
,France,,Total population,3.5.2,Europe,Western Europe,2011,1163793,1,1840.797137336,63222.23
,France,,Total population,3.5.2,Europe,Western Europe,2012,1173885,1,1846.770085435,63564.22
,France,,Total population,3.5.2,Europe,Western Europe,2013,1390001,1,2175.496044043,63893.52
,France,,Total population,3.5.2,Europe,Western Europe,2014,1429398,1,2226.700346063,64193.55
,France,,Total population,3.5.2,Europe,Western Europe,2015,1397363,1,2168.027680244,64453.19
,France,,Total population,3.5.2,Europe,Western Europe,2016,1381425,1,2136.193725481,64667.59
,Georgia,,Total population,3.5.2,Asia,Western Asia,2004,10634,1,251.644003956,4225.811
,Georgia,,Total population,3.5.2,Asia,Western Asia,2005,16256,1,386.113775302,4210.158
,Georgia,,Total population,3.5.2,Asia,Western Asia,2006,27657,1,660.115396678,4189.722
,Georgia,,Total population,3.5.2,Asia,Western Asia,2007,18586,1,446.043303591,4166.86
,Georgia,,Total population,3.5.2,Asia,Western Asia,2008,14814,1,357.597362846,4142.648
,Georgia,,Total population,3.5.2,Asia,Western Asia,2009,11473,1,278.505348963,4119.49
,Georgia,,Total population,3.5.2,Asia,Western Asia,2010,11371,1,277.402627311,4099.096
,Georgia,,Total population,3.5.2,Asia,Western Asia,2014,9558,1,236.859126065,4035.31
,Germany,,Total population,3.5.2,Europe,Western Europe,2003,2482447,1,3041.678812199,81614.37
,Germany,,Total population,3.5.2,Europe,Western Europe,2004,2410100,1,2951.872873377,81646.47
,Germany,,Total population,3.5.2,Europe,Western Europe,2005,2234472,1,2738.231583890,81602.74
,Germany,,Total population,3.5.2,Europe,Western Europe,2006,2124100,1,2607.145697725,81472.24
,Germany,,Total population,3.5.2,Europe,Western Europe,2007,2074326,1,2552.142133698,81277.84
,Germany,,Total population,3.5.2,Europe,Western Europe,2008,1963877,1,2422.573034851,81065.75
,Germany,,Total population,3.5.2,Europe,Western Europe,2009,1220994,1,1509.264034247,80899.96
,Germany,,Total population,3.5.2,Europe,Western Europe,2010,1219983,1,1509.375579942,80827
,Germany,,Total population,3.5.2,Europe,Western Europe,2011,1276065,1,1578.201790030,80855.63
,Germany,,Total population,3.5.2,Europe,Western Europe,2012,1267576,1,1565.437605275,80972.63
,Germany,,Total population,3.5.2,Europe,Western Europe,2013,1289071,1,1588.027107571,81174.37
,Germany,,Total population,3.5.2,Europe,Western Europe,2014,1322144,1,1623.251066877,81450.37
,Germany,,Total population,3.5.2,Europe,Western Europe,2015,1348955,1,1649.343095716,81787.41
,Germany,,Total population,3.5.2,Europe,Western Europe,2016,1290481,1,1570.047218907,82193.77
,Germany,,Total population,3.5.2,Europe,Western Europe,2017,1156422,1,1399.037315138,82658.41
,Germany,,Total population,3.5.2,Europe,Western Europe,2018,1082478,1,1302.238415888,83124.41
,Greece,,Total population,3.5.2,Europe,Southern Europe,2003,68255,1,608.394064292,11218.88
,Greece,,Total population,3.5.2,Europe,Southern Europe,2004,56342,1,501.486872707,11234.99
,Greece,,Total population,3.5.2,Europe,Southern Europe,2005,61652,1,549.248093507,11224.8
,Greece,,Total population,3.5.2,Europe,Southern Europe,2006,69619,1,622.419029381,11185.23
,Greece,,Total population,3.5.2,Europe,Southern Europe,2007,80988,1,728.285120009,11120.37
,Greece,,Total population,3.5.2,Europe,Southern Europe,2008,91350,1,827.422418392,11040.31
,Greece,,Total population,3.5.2,Europe,Southern Europe,2009,99369,1,906.711852158,10959.27
,Greece,,Total population,3.5.2,Europe,Southern Europe,2010,118518,1,1088.555462892,10887.64
,Greece,,Total population,3.5.2,Europe,Southern Europe,2011,129148,1,1192.604720442,10829.07
,Greece,,Total population,3.5.2,Europe,Southern Europe,2012,119078,1,1104.504912291,10781.12
,Greece,,Total population,3.5.2,Europe,Southern Europe,2013,103674,1,965.262324845,10740.5
,Greece,,Total population,3.5.2,Europe,Southern Europe,2014,94082,1,879.151069106,10701.46
,Greece,,Total population,3.5.2,Europe,Southern Europe,2015,55151,1,517.376596427,10659.74
,Greece,,Total population,3.5.2,Europe,Southern Europe,2016,57158,1,538.455306457,10615.18
,Greece,,Total population,3.5.2,Europe,Southern Europe,2017,67849,1,641.935010809,10569.45
,Greece,,Total population,3.5.2,Europe,Southern Europe,2018,58296,1,554.026519068,10522.24
,Grenada,,Total population,3.5.2,Americas,Caribbean,2005,1813,1,1732.309044698,104.658
,Grenada,,Total population,3.5.2,Americas,Caribbean,2006,1937,1,1845.851836322,104.938
,Grenada,,Total population,3.5.2,Americas,Caribbean,2007,1847,1,1755.987184241,105.183
,Grenada,,Total population,3.5.2,Americas,Caribbean,2008,2079,1,1971.419630750,105.457
,Grenada,,Total population,3.5.2,Americas,Caribbean,2009,936,1,884.796808682,105.787
,Grenada,,Total population,3.5.2,Americas,Caribbean,2010,961,1,904.666421908,106.227
,Grenada,,Total population,3.5.2,Americas,Caribbean,2011,1304,1,1221.133856498,106.786
,Grenada,,Total population,3.5.2,Americas,Caribbean,2012,1536,1,1429.475486729,107.452
,Grenada,,Total population,3.5.2,Americas,Caribbean,2013,1281,1,1184.225122952,108.172
,Grenada,,Total population,3.5.2,Americas,Caribbean,2014,1348,1,1237.832874197,108.9
,Grenada,,Total population,3.5.2,Americas,Caribbean,2015,2081,1,1898.670656825,109.603
,Grenada,,Total population,3.5.2,Americas,Caribbean,2016,2476,1,2245.540208411,110.263
,Guatemala,,Total population,3.5.2,Americas,Central America,2004,5172,1,40.415943511,12796.93
,Guatemala,,Total population,3.5.2,Americas,Central America,2005,4303,1,32.857285758,13096.03
,Guatemala,,Total population,3.5.2,Americas,Central America,2006,3875,1,28.924342876,13397.02
,Guatemala,,Total population,3.5.2,Americas,Central America,2007,4131,1,30.152558369,13700.33
,Guatemala,,Total population,3.5.2,Americas,Central America,2008,4697,1,33.534621980,14006.42
,Guatemala,,Total population,3.5.2,Americas,Central America,2009,5985,1,41.805640444,14316.25
,Guatemala,,Total population,3.5.2,Americas,Central America,2010,6513,1,44.516835470,14630.42
,Guatemala,,Total population,3.5.2,Americas,Central America,2011,8122,1,54.332156649,14948.79
,Guatemala,,Total population,3.5.2,Americas,Central America,2012,9112,1,59.669551699,15270.77
,Guatemala,,Total population,3.5.2,Americas,Central America,2013,48949,1,313.859739340,15595.82
,Guatemala,,Total population,3.5.2,Americas,Central America,2014,45476,1,285.595142697,15923.24
,Guatemala,,Total population,3.5.2,Americas,Central America,2015,47148,1,290.098336125,16252.42
,Guatemala,,Total population,3.5.2,Americas,Central America,2016,49114,1,296.169348517,16583.08
,Guinea,,Total population,3.5.2,Africa,Western Africa,2007,1348,1,14.162402624,9518.159
,Guinea-Bissau,,Total population,3.5.2,Africa,Western Africa,2013,943,1,57.211882356,1648.259
,Guinea-Bissau,,Total population,3.5.2,Africa,Western Africa,2014,997,1,58.909274400,1692.433
,Guyana,,Total population,3.5.2,Americas,South America,2010,3906,1,521.196109043,749.43
,Guyana,,Total population,3.5.2,Americas,South America,2011,1909,1,253.846593682,752.029
,Guyana,,Total population,3.5.2,Americas,South America,2012,1669,1,220.946056861,755.388
,Guyana,,Total population,3.5.2,Americas,South America,2013,2898,1,381.676875887,759.281
,Guyana,,Total population,3.5.2,Americas,South America,2015,5171,1,673.804749079,767.433
,Guyana,,Total population,3.5.2,Americas,South America,2016,4816,1,624.349365992,771.363
,Guyana,,Total population,3.5.2,Americas,South America,2018,1407,1,180.614551602,779.007
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2009,0,1,0,0.787
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2010,0,1,0,0.783
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2011,0,1,0,0.786
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2012,0,1,0,0.786
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2013,0,1,0,0.786
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2014,0,1,0,0.785
,Holy See,,Total population,3.5.2,Europe,Southern Europe,2015,0,1,0,0.79
,Honduras,,Total population,3.5.2,Americas,Central America,2007,5751,1,73.650320419,7808.52
,Honduras,,Total population,3.5.2,Americas,Central America,2008,5223,1,65.443295946,7980.955
,Honduras,,Total population,3.5.2,Americas,Central America,2009,4905,1,60.178289685,8150.78
,Honduras,,Total population,3.5.2,Americas,Central America,2010,4478,1,53.838506363,8317.467
,Honduras,,Total population,3.5.2,Americas,Central America,2011,4066,1,47.944325154,8480.67
,Honduras,,Total population,3.5.2,Americas,Central America,2012,5010,1,57.981467225,8640.692
,Honduras,,Total population,3.5.2,Americas,Central America,2013,2536,1,28.823016224,8798.524
,Honduras,,Total population,3.5.2,Americas,Central America,2014,3001,1,33.509837834,8955.579
,Honduras,,Total population,3.5.2,Americas,Central America,2015,2911,1,31.943714100,9112.904
,Honduras,,Total population,3.5.2,Americas,Central America,2016,3088,1,33.308905365,9270.794
,Honduras,,Total population,3.5.2,Americas,Central America,2018,3915,1,40.834321858,9587.523
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2003,124782,1,1230.429114890,10141.34
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2004,129466,1,1280.006485751,10114.48
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2005,126253,1,1251.772269119,10085.94
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2006,122677,1,1219.979593582,10055.66
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2007,124522,1,1242.218799381,10024.16
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2008,119143,1,1192.399778740,9991.867
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2009,117232,1,1177.094412647,9959.439
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2010,134196,1,1351.776601681,9927.38
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2011,129749,1,1311.166913188,9895.689
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2012,130299,1,1320.906377837,9864.363
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2013,124276,1,1263.747946776,9833.923
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2014,106939,1,1090.658828754,9804.991
,Hungary,,Total population,3.5.2,Europe,Eastern Europe,2015,111326,1,1138.544220783,9777.925
